iter	Passed	Remaining
399	57105	85657
400	57281	85564
401	57443	85451
402	57617	85354
403	57768	85223
404	57900	85063
405	58017	84883
406	58163	84744
407	58367	84690
408	58501	84533
409	58630	84371
410	58749	84192
411	58950	84132
412	59111	84016
413	59251	83868
414	59406	83741
415	59569	83626
416	59690	83452
417	59859	83345
418	59997	83194
419	60116	83017
420	60316	82952
421	60441	82785
422	60593	82653
423	60731	82503
424	60871	82355
425	61033	82237
426	61219	82151
427	61369	82017
428	61536	81905
429	61683	81766
430	61814	81606
431	61955	81460
432	62147	81380
433	62297	81245
434	62443	81105
435	62577	80948
436	62720	80804
437	62869	80667
438	63025	80540
439	63187	80420
440	63337	80284
441	63472	80130
442	63597	79962
443	63755	79838
444	63918	79718
445	64052	79562
446	64200	79425
447	64355	79295
448	64499	79152
449	64666	79037
450	64819	78904
451	64970	78769
452	65106	78616
453	65255	78479
454	65386	78320
455	65530	78176
456	65676	78035
457	65819	77890
458	65939	77719
459	66054	77542
460	66183	77381
461	66346	77261
462	66533	77166
463	66696	77046
464	66817	76876
465	67003	76781
466	67161	76653
467	67356	76567
468	67496	76418
469	67688	76329
470	67808	76158
471	67987	76054
472	68116	75892
473	68249	75736
474	68403	75604
475	68518	75427
476	68689	75313
477	68802	75136
478	68949	74994
479	69074	74830
480	69186	74652
481	69393	74576
482	69540	74435
483	69724	74334
484	69894	74218
485	70099	74138
486	70232	73982
487	70422	73886
488	70669	73849
489	70813	73703
490	70996	73598
491	71129	73442
492	71264	73288
493	71437	73172
494	71561	73007
495	71701	72858
496	71855	72722
497	72011	72589
498	72184	72473
499	72334	72334
500	72478	72189
501	72607	72029
502	72773	71905
503	72951	71793
504	73082	71635
505	73200	71464
506	73368	71342
507	73499	71184
508	73660	71055
509	73812	70917
510	73957	70773
511	74103	70629
512	74266	70502
513	74408	70355
514	74553	70210
515	74685	70053
516	74832	69911
517	74989	69778
518	75144	69642
519	75277	69486
520	75424	69344
521	75552	69184
522	75718	69058
523	75843	68896
524	75974	68738
525	76108	68584
526	76232	68420
527	76383	68282
528	76546	68153
529	76685	68004
530	76830	67859
531	76971	67711
532	77109	67560
533	77256	67418
534	77441	67309
535	77588	67166
536	77770	67053
537	77898	66893
538	78052	66757
539	78189	66605
540	78357	66481
541	78531	66360
542	78694	66230
543	78822	66071
544	78955	65916
545	79105	65776
546	79236	65619
547	79416	65504
548	79545	65346
549	79708	65216
550	79847	65066
551	80034	64955
552	80186	64816
553	80357	64692
554	80509	64552
555	80624	64383
556	80756	64228
557	80933	64108
558	81093	63975
559	81251	63840
560	81409	63705
561	81555	63561
562	81702	63417
563	81818	63249
564	81961	63103
565	82111	62962
566	82284	62837
567	82450	62708
568	82619	62581
569	82761	62434
570	82891	62277
571	83023	62122
572	83177	61984
573	83342	61853
574	83457	61685
575	83608	61544
576	83735	61386
577	83883	61243
578	84026	61096
579	84159	60943
580	84290	60787
581	84439	60645
582	84577	60495
583	84739	60362
584	84882	60215
585	85025	60069
586	85205	59948
587	85338	59795
588	85485	59651
589	85638	59511
590	85847	59410
591	86020	59284
592	86209	59169
593	86392	59049
594	86541	58906
595	86693	58765
596	86847	58625
597	87000	58484
598	87149	58342
599	87269	58179
600	87396	58021
601	87569	57894
602	87701	57740
603	87840	57590
604	87982	57443
605	88118	57291
606	88236	57128
607	88370	56975
608	88535	56842
609	88682	56698
610	88869	56580
611	89008	56430
612	89157	56287
613	89304	56142
614	89442	55992
615	89600	55854
616	89787	55735
617	89923	55583
618	90061	55433
619	90188	55276
620	90306	55114
621	90424	54952
622	90575	54810
623	90693	54648
624	90837	54502
625	90995	54364
626	91152	54226
627	91347	54110
628	91479	53956
629	91592	53792
630	91752	53655
631	91874	53496
632	92026	53355
633	92168	53207
634	92298	53053
635	92431	52901
636	92579	52757
637	92714	52606
638	92861	52461
639	93028	52328
640	93148	52169
641	93338	52048
642	93477	51899
643	93617	51751
644	93730	51588
645	93879	51444
646	94006	51289
647	94156	51146
648	94284	50991
649	94421	50842
650	94550	50688
651	94721	50556
652	94872	50414
653	95056	50289
654	95188	50137
655	95321	49985
656	95483	49849
657	95652	49716
658	95873	49609
659	96034	49472
660	96174	49324
661	96343	49190
662	96492	49046
663	96640	48902
664	96791	48759
665	96929	48610
666	97055	48455
667	97186	48302
668	97352	48166
669	97486	48015
670	97649	47878
671	97764	47718
672	97890	47563
673	98043	47421
674	98162	47263
675	98305	47117
676	98446	46969
677	98568	46812
678	98721	46670
679	98888	46535
680	99047	46396
681	99213	46260
682	99365	46118
683	99518	45976
684	99706	45850
685	99860	45708
686	99982	45552
687	100115	45401
688	100286	45267
689	100422	45117
690	100553	44965
691	100680	44811
692	100817	44662
693	100979	44524
694	101106	44370
695	101228	44214
696	101379	44071
697	101502	43916
698	101652	43772
699	101786	43622
700	101948	43484
701	102100	43341
702	102251	43198
703	102364	43039
704	102504	42892
705	102633	42739
706	102780	42595
707	102895	42437
708	103068	42303
709	103239	42168
710	103358	42012
711	103498	41864
712	103619	41709
713	103756	41560
714	103903	41415
715	104072	41280
716	104229	41139
717	104388	40999
718	104495	40838
719	104612	40682
720	104748	40533
721	104887	40385
722	105053	40248
723	105213	40109
724	105346	39958
725	105465	39803
726	105642	39670
727	105788	39525
728	105902	39368
729	106033	39217
730	106159	39065
731	106267	38906
732	106389	38752
733	106506	38597
734	106636	38447
735	106752	38291
736	106858	38132
737	106963	37973
738	107103	37826
739	107221	37672
740	107381	37532
741	107520	37385
742	107667	37241
743	107781	37085
744	107915	36937
745	108041	36786
746	108194	36644
747	108331	36496
748	108480	36353
749	108627	36209
750	108760	36060
751	108897	35913
752	109059	35773
753	109196	35626
754	109342	35482
755	109488	35337
756	109639	35194
757	109769	35045
758	109889	34892
759	110024	34744
760	110174	34601
761	110330	34460
762	110471	34314
763	110592	34162
764	110747	34020
765	110862	33866
766	111011	33723
767	111143	33574
768	111290	33430
769	111424	33282
770	111573	33139
771	111713	32993
772	111879	32854
773	112029	32711
774	112146	32558
775	112286	32412
776	112436	32269
777	112571	32122
778	112696	31971
779	112867	31834
780	113011	31689
781	113198	31556
782	113341	31411
783	113455	31258
784	113604	31114
785	113735	30966
786	113875	30820
787	114024	30676
788	114172	30532
789	114308	30385
790	114470	30245
791	114616	30101
792	114794	29965
793	114878	29804
794	115015	29658
795	115227	29530
796	115369	29385
797	115519	29241
798	115695	29104
799	115836	28959
800	115988	28816
801	116124	28669
802	116275	28525
803	116439	28385
804	116645	28255
805	116793	28111
806	116926	27963
807	117069	27818
808	117228	27676
809	117375	27532
810	117508	27384
811	117694	27249
812	117817	27099
813	117931	26947
814	118104	26808
815	118230	26659
816	118359	26511
817	118575	26382
818	118760	26246
819	118943	26109
820	119128	25973
821	119240	25820
822	119393	25677
823	119563	25537
824	119734	25398
825	119887	25254
826	120025	25108
827	120189	24966
828	120343	24823
829	120494	24679
830	120658	24538
831	120811	24394
832	120967	24251
833	121113	24106
834	121265	23962
835	121415	23818
836	121568	23674
837	121704	23527
838	121837	23379
839	121972	23232
840	122120	23088
841	122277	22945
842	122369	22789
843	122505	22643
844	122619	22492
845	122798	22353
846	122951	22209
847	123135	22071
848	123314	21932
849	123460	21787
850	123653	21650
851	123791	21503
852	123929	21357
853	124049	21207
854	124195	21062
855	124342	20917
856	124501	20774
857	124619	20624
858	124792	20484
859	124952	20341
860	125132	20201
861	125297	20059
862	125471	19918
863	125608	19771
864	125790	19632
865	125911	19482
866	126043	19335
867	126197	19191
868	126371	19050
869	126550	18909
870	126700	18765
871	126858	18621
872	126990	18473
873	127170	18333
874	127315	18187
875	127477	18044
876	127695	17909
877	127847	17764
878	128003	17620
879	128152	17475
880	128300	17330
881	128472	17187
882	128617	17042
883	128797	16901
884	128973	16759
885	129107	16612
886	129260	16467
887	129413	16322
888	129565	16177
889	129701	16030
890	129845	15884
891	129997	15739
892	130132	15592
893	130305	15450
894	130466	15306
895	130571	15155
896	130719	15010
897	130870	14864
898	131052	14723
899	131221	14580
900	131366	14434
901	131496	14286
902	131652	14142
903	131802	13996
904	131926	13848
905	132045	13700
906	132204	13555
907	132329	13407
908	132471	13261
909	132608	13115
910	132781	12972
911	132933	12826
912	133054	12678
913	133188	12531
914	133370	12389
915	133516	12243
916	133666	12098
917	133803	11951
918	133932	11804
919	134085	11659
920	134220	11512
921	134388	11369
922	134546	11224
923	134733	11081
924	134861	10934
925	134966	10785
926	135098	10638
927	135274	10495
928	135440	10351
929	135577	10204
930	135721	10058
931	135882	9914
932	136033	9768
933	136166	9622
934	136300	9475
935	136438	9329
936	136567	9182
937	136694	9035
938	136873	8891
939	136996	8744
940	137112	8596
941	137255	8451
942	137381	8304
943	137545	8159
944	137670	8012
945	137812	7866
946	137961	7721
947	138127	7576
948	138286	7431
949	138423	7285
950	138577	7140
951	138723	6994
952	138918	6851
953	139076	6706
954	139258	6561
955	139388	6415
956	139509	6268
957	139633	6121
958	139821	5977
959	139958	5831
960	140105	5685
961	140229	5539
962	140386	5393
963	140515	5247
964	140659	5101
965	140810	4956
966	140940	4809
967	141058	4663
968	141182	4516
969	141332	4371
970	141480	4225
971	141604	4079
972	141751	3933
973	141924	3788
974	142079	3643
975	142226	3497
976	142376	3351
977	142501	3205
978	142655	3060
979	142803	2914
980	142946	2768
981	143098	2622
982	143223	2476
983	143385	2331
984	143521	2185
985	143757	2041
986	143902	1895
987	144048	1749
988	144204	1603
989	144347	1458
990	144497	1312
991	144654	1166
992	144822	1020
993	144945	874
994	145087	729
995	145192	583
996	145348	437
997	145548	291
998	145727	145
999	145926	0
