iter	RMSE
317	0.9494565181
318	0.9494338742
319	0.9494122509
320	0.9493797122
321	0.9493514399
322	0.9493099272
323	0.9492734687
324	0.9492620947
325	0.9492252988
326	0.9492064017
327	0.9491933484
328	0.9491924807
329	0.9491403978
330	0.9491109467
331	0.9490741757
332	0.9490428916
333	0.9490099718
334	0.949009568
335	0.9489793586
336	0.9489675893
337	0.9489413795
338	0.9489243548
339	0.9489037505
340	0.948888211
341	0.9488535905
342	0.948835569
343	0.9488027132
344	0.9487712314
345	0.9487172494
346	0.948677626
347	0.9486673996
348	0.9486340071
349	0.948633633
350	0.9485834535
351	0.9485482301
352	0.9485184033
353	0.948492158
354	0.9484724225
355	0.9484513248
356	0.9484221139
357	0.9483989276
358	0.9483826684
359	0.9483608298
360	0.9483319662
361	0.9483094869
362	0.9482981885
363	0.9482970036
364	0.9482730563
365	0.9482391082
366	0.9482087787
367	0.9481871545
368	0.9481586654
369	0.9481264012
370	0.9480895302
371	0.948061083
372	0.9480341323
373	0.948010102
374	0.9480099625
375	0.947970845
376	0.9479433526
377	0.9479181078
378	0.9479055277
379	0.9478734222
380	0.9478423358
381	0.9478175234
382	0.9478088254
383	0.9477877646
384	0.947762501
385	0.9477283057
386	0.9477173148
387	0.9476926297
388	0.9476715698
389	0.9476507817
390	0.9476337082
391	0.9475955984
392	0.9475677248
393	0.947544509
394	0.9475373926
395	0.9475295899
396	0.9474918773
397	0.9474596562
398	0.9474288271
399	0.9474062031
400	0.9473778644
401	0.9473762887
402	0.9473658194
403	0.9473436887
404	0.9473030719
405	0.9472823427
406	0.9472611124
407	0.9472379123
408	0.9472310842
409	0.9472274313
410	0.9472003295
411	0.9471857748
412	0.9471450787
413	0.9471003127
414	0.9470952959
415	0.9470553566
416	0.947040368
417	0.9470183556
418	0.9470124799
419	0.9469935183
420	0.9469651971
421	0.9469351464
422	0.9469069614
423	0.9468735067
424	0.946853824
425	0.946852786
426	0.9468063727
427	0.9467870522
428	0.9467615594
429	0.9467547816
430	0.9467365443
431	0.9467169974
432	0.9466792674
433	0.9466458806
434	0.9466208664
435	0.9465868969
436	0.9465636717
437	0.9465385193
438	0.9464953003
439	0.9464632835
440	0.946462933
441	0.9464596612
442	0.9464506424
443	0.9464281382
444	0.9464128026
445	0.9463968946
446	0.9463615088
447	0.9463610835
448	0.9463522345
449	0.9463357332
450	0.9463109465
451	0.9462651875
452	0.9462462178
453	0.9462246648
454	0.9461915758
455	0.946184839
456	0.9461840861
457	0.9461839752
458	0.9461562156
459	0.9461395344
460	0.9460971797
461	0.9460684546
462	0.9460503834
463	0.9460315976
464	0.9460077323
465	0.9459587627
466	0.945928609
467	0.9459126734
468	0.9458934519
469	0.9458766601
470	0.9458330398
471	0.9458258185
472	0.9458090786
473	0.945806539
474	0.9457939429
475	0.9457511872
476	0.9457262506
477	0.9456863071
478	0.9456823677
479	0.9456531267
480	0.9456257439
481	0.9456063299
482	0.9455846679
483	0.9455712317
484	0.9455461595
485	0.9455023219
486	0.9454826305
487	0.9454742553
488	0.9454693755
489	0.9454686629
490	0.9454596402
491	0.9454430525
492	0.9454124485
493	0.9453789448
494	0.9453627232
495	0.9453336019
496	0.9453294064
497	0.9453199388
498	0.945289665
499	0.9452680957
500	0.9452372068
501	0.9452212639
502	0.9451952844
503	0.9451714247
504	0.9451476467
505	0.9451362999
506	0.9450967449
507	0.9450705322
508	0.9450509111
509	0.9449972424
510	0.9449746856
511	0.9449659262
512	0.9449600149
513	0.944926263
514	0.944901195
515	0.944862816
516	0.9448305843
517	0.9448140693
518	0.9447722152
519	0.9447585545
520	0.9447330772
521	0.9447065162
522	0.9446820955
523	0.9446580636
524	0.9446477059
525	0.9446348665
526	0.9446108168
527	0.9445829924
528	0.9445622242
529	0.9445251894
530	0.9445045839
531	0.9444785508
532	0.9444701909
533	0.9444440086
534	0.9444231196
535	0.9443939736
536	0.9443537652
537	0.9443288882
538	0.9442945484
539	0.9442687785
540	0.9442324572
541	0.944207113
542	0.944181063
543	0.944164575
544	0.944140575
545	0.9441333178
546	0.9441122949
547	0.9440923526
548	0.9440684242
549	0.9440263783
550	0.9440190287
551	0.9439939931
552	0.9439670142
553	0.9439519388
554	0.9439339318
555	0.943908267
556	0.9438853532
557	0.9438648951
558	0.9438421926
559	0.9438040765
560	0.9437800876
561	0.9437664325
562	0.9437484662
563	0.9437365051
564	0.9437061536
565	0.9436910949
566	0.9436785343
567	0.9436453281
568	0.9436115081
569	0.9435966998
570	0.9435712488
571	0.9435573062
572	0.9435455207
573	0.9435244391
574	0.9434931534
575	0.9434546518
576	0.9434210812
577	0.9433899597
578	0.9433711646
579	0.943347426
580	0.9433314568
581	0.9433293233
582	0.9433265216
583	0.9433084533
584	0.9432927444
585	0.943259158
586	0.9432256157
587	0.9432176346
588	0.9431903097
589	0.9431676207
590	0.9431402065
591	0.9431178601
592	0.943097779
593	0.9430726595
594	0.9430624476
595	0.9430613468
596	0.9430337207
597	0.9430078433
598	0.9429980983
599	0.9429965338
600	0.9429860142
601	0.9429559349
602	0.9429349745
603	0.9429228178
604	0.9429054212
605	0.9428947752
606	0.9428734552
607	0.9428553674
608	0.9428338224
609	0.9428150006
610	0.9428030549
611	0.94278338
612	0.9427506507
613	0.9427412348
614	0.9427183334
615	0.9426868804
616	0.9426825937
617	0.942673743
618	0.9426435799
619	0.942610809
620	0.9425932935
621	0.9425788196
622	0.9425685984
623	0.9425380594
624	0.9425303106
625	0.9425244927
626	0.9424929863
627	0.9424839744
628	0.9424635672
629	0.9424469132
630	0.9424112165
631	0.9423990146
632	0.9423721592
633	0.9423632306
634	0.9423514977
635	0.9423331585
636	0.9423012763
637	0.9422924347
638	0.9422784003
639	0.9422514281
640	0.9422359368
641	0.9422080117
642	0.9421927182
643	0.9421575993
644	0.9421390689
645	0.9421273299
646	0.9420908809
647	0.942080128
648	0.9420660043
649	0.9420543278
650	0.9420420329
651	0.9420328486
652	0.9420137174
653	0.941999887
654	0.9419802058
655	0.9419619432
656	0.9419594362
657	0.9419509007
658	0.9419224053
659	0.941910443
660	0.9418869224
661	0.9418754562
662	0.9418416971
663	0.9418064128
664	0.9417887847
665	0.941761295
666	0.9417393366
667	0.9417157606
668	0.9417015515
669	0.941681881
670	0.9416641766
671	0.9416622422
672	0.9416502553
673	0.9416332118
674	0.9416030171
675	0.9415803252
676	0.9415795702
677	0.9415585099
678	0.9415374005
679	0.9414944626
680	0.9414873288
681	0.9414668138
682	0.9414650848
683	0.9414494953
684	0.9414472785
685	0.941434017
686	0.9414158405
687	0.9413911484
688	0.9413739529
689	0.9413512936
690	0.9413378409
691	0.9413197422
692	0.9413027721
693	0.9412787498
694	0.9412754628
695	0.9412418282
696	0.9412365207
697	0.9412219055
698	0.9412170681
699	0.9412101708
700	0.9411943513
701	0.9411559594
702	0.9411260509
703	0.9411254202
704	0.9411047977
705	0.9410912511
706	0.9410758654
707	0.9410757156
708	0.9410419675
709	0.9410419221
710	0.9410262258
711	0.9410048315
712	0.9409830342
713	0.9409459942
714	0.9409185739
715	0.9409088443
716	0.9408731809
717	0.9408659086
718	0.9408606144
719	0.940857106
720	0.9408509054
721	0.9408377644
722	0.9408160428
723	0.9408041596
724	0.9407790314
725	0.9407703908
726	0.9407617829
727	0.9407350528
728	0.9407268862
729	0.940705478
730	0.9406953587
731	0.9406703783
732	0.9406505852
733	0.9406320591
734	0.940615203
735	0.9406069063
736	0.9405809686
737	0.9405548968
738	0.9405349489
739	0.9405114368
740	0.9405035148
741	0.9404811347
742	0.9404616885
743	0.9404545388
744	0.9404460356
745	0.940440232
746	0.9404131588
747	0.940389012
748	0.9403809939
749	0.9403656351
750	0.9403652711
751	0.9403441991
752	0.940328797
753	0.9403255678
754	0.9403159254
755	0.9402919955
756	0.9402595422
757	0.9402461479
758	0.9402400042
759	0.9402384631
760	0.9402188967
761	0.9401926136
762	0.9401740565
763	0.9401521387
764	0.9401215319
765	0.9401059527
766	0.9400815184
767	0.9400563338
768	0.9400377634
769	0.940027254
770	0.9400052178
771	0.9399914381
772	0.939968799
773	0.9399358443
774	0.9399272761
775	0.9399118948
776	0.9398914751
777	0.939872662
778	0.9398497826
779	0.9398313449
780	0.9398015831
781	0.9397754331
782	0.9397540843
783	0.939737907
784	0.9397292767
785	0.939702856
786	0.9396827079
787	0.9396782492
788	0.9396643335
789	0.9396547183
790	0.939652525
791	0.9396275492
792	0.939613577
793	0.939596112
794	0.9395698421
795	0.9395529914
796	0.939525481
797	0.9395027354
798	0.9394691604
799	0.939448595
800	0.9394335473
801	0.9394302767
802	0.939427692
803	0.9394136673
804	0.9394070084
805	0.939397485
806	0.9393813916
807	0.9393597556
808	0.9393303713
809	0.9393018782
810	0.9392808994
811	0.9392509619
812	0.9392313498
813	0.9391981133
814	0.9391672636
815	0.9391448204
816	0.9391228335
817	0.9391047465
818	0.9390946576
819	0.9390783808
820	0.9390682965
821	0.9390566289
822	0.9390385625
823	0.9390271082
824	0.9390247357
825	0.9390134797
826	0.9389923749
827	0.9389817366
828	0.9389790718
829	0.9389788523
830	0.9389567244
831	0.9389348401
832	0.9389198353
833	0.9388992371
834	0.9388890875
835	0.938858435
836	0.9388462072
837	0.9388359243
838	0.9388212983
839	0.9388078231
840	0.9387829933
841	0.9387753334
842	0.9387620034
843	0.9387306716
844	0.9387057144
845	0.93867642
846	0.9386483653
847	0.9386116623
848	0.9386007836
849	0.9385935889
850	0.9385792002
851	0.9385425902
852	0.9385233134
853	0.9385085422
854	0.9384763407
855	0.9384625662
856	0.9384361703
857	0.9384148881
858	0.9383946399
859	0.938370453
860	0.9383513329
861	0.938328607
862	0.9382999424
863	0.9382786739
864	0.9382631806
865	0.9382611582
866	0.9382444495
867	0.9382190305
868	0.9381922083
869	0.9381648324
870	0.9381468462
871	0.9381172267
872	0.9381061145
873	0.938076783
874	0.9380720164
875	0.938042169
876	0.9380288288
877	0.9380077261
878	0.9379933693
879	0.9379664887
880	0.937943609
881	0.9379368671
882	0.9379185424
883	0.9378977818
884	0.9378665962
885	0.9378552369
886	0.9378391721
887	0.9378240492
888	0.9377987687
889	0.9377794306
890	0.9377690497
891	0.9377570721
892	0.937751493
893	0.9377236872
894	0.9377036713
895	0.9376695625
896	0.9376543611
897	0.9376390985
898	0.9376297476
899	0.9376202422
900	0.9376112091
901	0.9376059311
902	0.9375962867
903	0.9375706101
904	0.9375458321
905	0.9375174842
906	0.9375088763
907	0.9374788408
908	0.9374574684
909	0.9374382701
910	0.9374292816
911	0.9374054439
912	0.9373788177
913	0.9373788088
914	0.9373419731
915	0.9373412495
916	0.9373359195
917	0.9373137583
918	0.9372977883
919	0.9372839228
920	0.9372677624
921	0.937246421
922	0.9372320192
923	0.9372179321
924	0.9371944008
925	0.9371602474
926	0.9371519995
927	0.9371498977
928	0.9371418219
929	0.9371352445
930	0.9371221038
931	0.9371131352
932	0.9371096237
933	0.9370983055
934	0.9370862507
935	0.9370674652
936	0.9370555955
937	0.9370206469
938	0.9370113183
939	0.9369986732
940	0.936977828
941	0.9369499542
942	0.9369304841
943	0.9369155313
944	0.9368828337
945	0.9368521566
946	0.936838457
947	0.9368151989
948	0.936804928
949	0.9367803364
950	0.9367602916
951	0.9367408951
952	0.9367256133
953	0.9367222877
954	0.9367116098
955	0.9366851808
956	0.9366692689
957	0.9366670135
958	0.9366456228
959	0.9366231763
960	0.9366060571
961	0.9365936147
962	0.9365724161
963	0.9365537863
964	0.9365275072
965	0.9365160219
966	0.9364897416
967	0.936462997
968	0.9364350584
969	0.9364064947
970	0.9363859378
971	0.9363775122
972	0.9363670587
973	0.9363462357
974	0.9363343251
975	0.9363160798
976	0.9362893757
977	0.9362671498
978	0.93625074
979	0.9362287002
980	0.9362209849
981	0.9362087564
982	0.9361835848
983	0.9361762911
984	0.9361589933
985	0.9361378425
986	0.9361212409
987	0.9361150745
988	0.9360993408
989	0.9360703781
990	0.9360490088
991	0.9360245124
992	0.9359914004
993	0.9359719914
994	0.935963362
995	0.9359397919
996	0.9359390855
997	0.9359142427
998	0.9358814852
999	0.9358792735
